,maint,doors,persons,lug_boot,safety,class,row_num
1531,med,2,more,small,med,unacc,1531
934,vhigh,4,4,big,med,acc,934
1065,high,5more,4,med,low,unacc,1065
108,high,2,2,small,low,unacc,108
1334,vhigh,3,4,small,high,acc,1334
568,high,3,2,small,med,unacc,568
890,vhigh,2,more,big,high,acc,890
947,vhigh,5more,2,small,high,unacc,947
1048,high,4,more,med,med,acc,1048
1164,med,5more,2,med,low,unacc,1164
1181,med,5more,more,small,high,acc,1181
1247,low,4,2,med,high,unacc,1247
884,vhigh,2,more,small,high,unacc,884
1448,high,3,4,big,high,vgood,1448
850,low,5more,4,med,med,acc,850
734,med,5more,2,med,high,unacc,734
717,med,4,4,big,low,unacc,717
454,vhigh,2,more,med,med,unacc,454
264,med,3,more,med,low,unacc,264
75,vhigh,4,more,med,low,unacc,75
444,vhigh,2,4,med,low,unacc,444
395,low,4,4,big,high,acc,395
176,high,4,4,med,high,unacc,176
1042,high,4,4,big,med,acc,1042
1502,high,5more,4,big,high,vgood,1502
1577,med,4,4,small,high,good,1577
1189,low,2,2,small,med,unacc,1189
595,high,4,2,small,med,unacc,595
61,vhigh,4,2,big,med,unacc,61
872,vhigh,2,2,big,high,unacc,872
1286,low,5more,4,big,high,vgood,1286
1619,med,5more,more,big,high,vgood,1619
278,med,4,2,big,high,unacc,278
36,vhigh,3,4,small,low,unacc,36
662,med,2,4,med,high,acc,662
1558,med,3,more,small,med,acc,1558
1245,low,4,2,med,low,unacc,1245
977,high,2,2,med,high,unacc,977
1360,vhigh,4,4,small,med,unacc,1360
738,med,5more,4,small,low,unacc,738
191,high,5more,2,small,high,unacc,191
919,vhigh,4,2,small,med,unacc,919
456,vhigh,2,more,big,low,unacc,456
675,med,3,2,small,low,unacc,675
760,low,2,2,med,med,unacc,760
1559,med,3,more,small,high,good,1559
728,med,4,more,big,high,acc,728
412,low,5more,2,big,med,unacc,412
1098,med,2,more,small,low,unacc,1098
825,low,4,4,big,low,unacc,825
616,high,4,more,med,med,acc,616
114,high,2,2,big,low,unacc,114
417,low,5more,4,med,low,unacc,417
1644,low,2,more,big,low,unacc,1644
969,vhigh,5more,more,big,low,unacc,969
604,high,4,4,small,med,unacc,604
1651,low,3,2,med,med,unacc,1651
89,vhigh,5more,2,big,high,unacc,89
848,low,5more,4,small,high,acc,848
1314,vhigh,2,more,small,low,unacc,1314
1650,low,3,2,med,low,unacc,1650
753,med,5more,more,big,low,unacc,753
498,vhigh,4,4,med,low,unacc,498
11,vhigh,2,4,small,high,unacc,11
396,low,4,more,small,low,unacc,396
284,med,4,4,med,high,acc,284
1066,high,5more,4,med,med,acc,1066
1191,low,2,2,med,low,unacc,1191
690,med,3,4,big,low,unacc,690
1646,low,2,more,big,high,vgood,1646
1616,med,5more,more,med,high,vgood,1616
689,med,3,4,med,high,acc,689
851,low,5more,4,med,high,acc,851
159,high,3,more,big,low,unacc,159
895,vhigh,3,2,med,med,unacc,895
1364,vhigh,4,4,med,high,acc,1364
257,med,3,4,med,high,acc,257
335,low,2,4,small,high,acc,335
1620,low,2,2,small,low,unacc,1620
1039,high,4,4,med,med,acc,1039
515,vhigh,5more,2,small,high,unacc,515
1015,high,3,4,big,med,acc,1015
768,low,2,4,med,low,unacc,768
1510,high,5more,more,big,med,acc,1510
761,low,2,2,med,high,unacc,761
1203,low,2,4,big,low,unacc,1203
1548,med,3,4,small,low,unacc,1548
1712,low,5more,4,small,high,good,1712
521,vhigh,5more,2,big,high,unacc,521
22,vhigh,2,more,med,med,unacc,22
356,low,3,2,med,high,unacc,356
1457,high,3,more,big,high,vgood,1457
340,low,2,4,big,med,acc,340
431,low,5more,more,big,high,acc,431
473,vhigh,3,4,med,high,unacc,473
217,med,2,2,small,med,unacc,217
911,vhigh,3,more,small,high,acc,911
1227,low,3,4,med,low,unacc,1227
1381,vhigh,5more,2,med,med,unacc,1381
1011,high,3,4,med,low,unacc,1011
1680,low,4,2,big,low,unacc,1680
93,vhigh,5more,4,med,low,unacc,93
1008,high,3,4,small,low,unacc,1008
1070,high,5more,4,big,high,acc,1070
1092,med,2,4,med,low,unacc,1092
1468,high,4,4,small,med,acc,1468
696,med,3,more,med,low,unacc,696
1547,med,3,2,big,high,unacc,1547
996,high,2,more,big,low,unacc,996
153,high,3,more,small,low,unacc,153
1099,med,2,more,small,med,unacc,1099
1489,high,5more,2,med,med,unacc,1489
1725,low,5more,more,big,low,unacc,1725
789,low,3,2,big,low,unacc,789
580,high,3,4,med,med,unacc,580
703,med,4,2,small,med,unacc,703
1212,low,2,more,big,low,unacc,1212
1442,high,3,4,small,high,acc,1442
1260,low,4,more,small,low,unacc,1260
487,vhigh,4,2,small,med,unacc,487
559,high,2,more,small,med,unacc,559
1141,med,4,2,big,med,unacc,1141
1119,med,3,4,med,low,unacc,1119
801,low,3,more,small,low,unacc,801
512,vhigh,4,more,big,high,unacc,512
633,high,5more,4,med,low,unacc,633
1627,low,2,2,big,med,unacc,1627
1543,med,3,2,med,med,unacc,1543
1150,med,4,4,big,med,acc,1150
790,low,3,2,big,med,unacc,790
116,high,2,2,big,high,unacc,116
740,med,5more,4,small,high,acc,740
1081,med,2,2,small,med,unacc,1081
830,low,4,more,small,high,acc,830
119,high,2,4,small,high,unacc,119
656,med,2,2,big,high,unacc,656
1641,low,2,more,med,low,unacc,1641
635,high,5more,4,med,high,acc,635
369,low,3,more,small,low,unacc,369
268,med,3,more,big,med,acc,268
655,med,2,2,big,med,unacc,655
935,vhigh,4,4,big,high,acc,935
822,low,4,4,med,low,unacc,822
866,vhigh,2,2,small,high,unacc,866
46,vhigh,3,more,small,med,unacc,46
1603,med,5more,4,small,med,acc,1603
991,high,2,more,small,med,unacc,991
876,vhigh,2,4,med,low,unacc,876
773,low,2,4,big,high,acc,773
1219,low,3,2,med,med,unacc,1219
1727,low,5more,more,big,high,vgood,1727
4,vhigh,2,2,med,med,unacc,4
1003,high,3,2,med,med,unacc,1003
1492,high,5more,2,big,med,unacc,1492
263,med,3,more,small,high,acc,263
1358,vhigh,4,2,big,high,unacc,1358
1578,med,4,4,med,low,unacc,1578
443,vhigh,2,4,small,high,unacc,443
1002,high,3,2,med,low,unacc,1002
1077,high,5more,more,big,low,unacc,1077
837,low,5more,2,small,low,unacc,837
1545,med,3,2,big,low,unacc,1545
304,med,5more,2,big,med,unacc,304
1350,vhigh,4,2,small,low,unacc,1350
313,med,5more,4,big,med,acc,313
149,high,3,4,med,high,unacc,149
1148,med,4,4,med,high,vgood,1148
1213,low,2,more,big,med,good,1213
574,high,3,2,big,med,unacc,574
50,vhigh,3,more,med,high,unacc,50
1342,vhigh,3,more,small,med,unacc,1342
726,med,4,more,big,low,unacc,726
833,low,4,more,med,high,acc,833
1115,med,3,2,big,high,unacc,1115
1166,med,5more,2,med,high,unacc,1166
470,vhigh,3,4,small,high,unacc,470
971,vhigh,5more,more,big,high,acc,971
653,med,2,2,med,high,unacc,653
399,low,4,more,med,low,unacc,399
511,vhigh,4,more,big,med,unacc,511
320,med,5more,more,med,high,acc,320
19,vhigh,2,more,small,med,unacc,19
684,med,3,4,small,low,unacc,684
35,vhigh,3,2,big,high,unacc,35
902,vhigh,3,4,small,high,acc,902
827,low,4,4,big,high,acc,827
1550,med,3,4,small,high,good,1550
407,low,5more,2,small,high,unacc,407
920,vhigh,4,2,small,high,unacc,920
537,vhigh,5more,more,big,low,unacc,537
758,low,2,2,small,high,unacc,758
1062,high,5more,4,small,low,unacc,1062
1199,low,2,4,small,high,good,1199
245,med,3,2,small,high,unacc,245
1127,med,3,more,small,high,acc,1127
784,low,3,2,small,med,unacc,784
489,vhigh,4,2,med,low,unacc,489
154,high,3,more,small,med,unacc,154
961,vhigh,5more,4,big,med,acc,961
853,low,5more,4,big,med,acc,853
1311,vhigh,2,4,big,low,unacc,1311
625,high,5more,2,med,med,unacc,625
685,med,3,4,small,med,unacc,685
569,high,3,2,small,high,unacc,569
1642,low,2,more,med,med,acc,1642
17,vhigh,2,4,big,high,unacc,17
127,high,2,more,small,med,unacc,127
1346,vhigh,3,more,med,high,acc,1346
1279,low,5more,4,small,med,acc,1279
1697,low,4,more,med,high,vgood,1697
927,vhigh,4,4,small,low,unacc,927
980,high,2,2,big,high,unacc,980
1693,low,4,more,small,med,acc,1693
190,high,5more,2,small,med,unacc,190
1139,med,4,2,med,high,unacc,1139
992,high,2,more,small,high,unacc,992
1708,low,5more,2,big,med,unacc,1708
1433,high,3,2,small,high,unacc,1433
606,high,4,4,med,low,unacc,606
180,high,4,more,small,low,unacc,180
301,med,5more,2,med,med,unacc,301
496,vhigh,4,4,small,med,unacc,496
1480,high,4,more,med,med,acc,1480
1653,low,3,2,big,low,unacc,1653
1418,high,2,4,med,high,acc,1418
517,vhigh,5more,2,med,med,unacc,517
1069,high,5more,4,big,med,acc,1069
476,vhigh,3,4,big,high,unacc,476
157,high,3,more,med,med,unacc,157
1243,low,4,2,small,med,unacc,1243
1195,low,2,2,big,med,unacc,1195
16,vhigh,2,4,big,med,unacc,16
1072,high,5more,more,small,med,unacc,1072
1700,low,4,more,big,high,vgood,1700
546,high,2,2,big,low,unacc,546
658,med,2,4,small,med,unacc,658
1406,high,2,2,small,high,unacc,1406
1019,high,3,more,small,high,acc,1019
1490,high,5more,2,med,high,unacc,1490
959,vhigh,5more,4,med,high,acc,959
1622,low,2,2,small,high,unacc,1622
283,med,4,4,med,med,acc,283
797,low,3,4,med,high,acc,797
1407,high,2,2,med,low,unacc,1407
225,med,2,4,small,low,unacc,225
26,vhigh,2,more,big,high,unacc,26
1537,med,2,more,big,med,good,1537
437,vhigh,2,2,med,high,unacc,437
1679,low,4,2,med,high,unacc,1679
1388,vhigh,5more,4,small,high,acc,1388
229,med,2,4,med,med,unacc,229
37,vhigh,3,4,small,med,unacc,37
749,med,5more,more,small,high,acc,749
1045,high,4,more,small,med,unacc,1045
469,vhigh,3,4,small,med,unacc,469
1465,high,4,2,big,med,unacc,1465
1696,low,4,more,med,med,good,1696
687,med,3,4,med,low,unacc,687
1588,med,4,more,med,med,good,1588
639,high,5more,more,small,low,unacc,639
1483,high,4,more,big,med,acc,1483
1218,low,3,2,med,low,unacc,1218
1158,med,4,more,big,low,unacc,1158
1432,high,3,2,small,med,unacc,1432
1300,vhigh,2,2,med,med,unacc,1300
1571,med,4,2,med,high,unacc,1571
800,low,3,4,big,high,acc,800
160,high,3,more,big,med,unacc,160
956,vhigh,5more,4,small,high,acc,956
1186,med,5more,more,big,med,acc,1186
821,low,4,4,small,high,acc,821
1456,high,3,more,big,med,acc,1456
877,vhigh,2,4,med,med,unacc,877
913,vhigh,3,more,med,med,acc,913
152,high,3,4,big,high,unacc,152
1583,med,4,4,big,high,vgood,1583
509,vhigh,4,more,med,high,unacc,509
1135,med,4,2,small,med,unacc,1135
1250,low,4,2,big,high,unacc,1250
1440,high,3,4,small,low,unacc,1440
103,vhigh,5more,more,med,med,unacc,103
586,high,3,more,small,med,unacc,586
1527,med,2,4,big,low,unacc,1527
1143,med,4,4,small,low,unacc,1143
53,vhigh,3,more,big,high,unacc,53
151,high,3,4,big,med,unacc,151
403,low,4,more,big,med,acc,403
1674,low,4,2,small,low,unacc,1674
207,high,5more,more,small,low,unacc,207
1631,low,2,4,small,high,good,1631
1122,med,3,4,big,low,unacc,1122
1512,med,2,2,small,low,unacc,1512
8,vhigh,2,2,big,high,unacc,8
1014,high,3,4,big,low,unacc,1014
1549,med,3,4,small,med,acc,1549
1060,high,5more,2,big,med,unacc,1060
452,vhigh,2,more,small,high,unacc,452
253,med,3,4,small,med,unacc,253
1327,vhigh,3,2,med,med,unacc,1327
896,vhigh,3,2,med,high,unacc,896
1640,low,2,more,small,high,unacc,1640
880,vhigh,2,4,big,med,acc,880
1626,low,2,2,big,low,unacc,1626
623,high,5more,2,small,high,unacc,623
345,low,2,more,med,low,unacc,345
1475,high,4,4,big,high,vgood,1475
262,med,3,more,small,med,unacc,262
1321,vhigh,2,more,big,med,acc,1321
1438,high,3,2,big,med,unacc,1438
150,high,3,4,big,low,unacc,150
472,vhigh,3,4,med,med,unacc,472
640,high,5more,more,small,med,unacc,640
1711,low,5more,4,small,med,acc,1711
1623,low,2,2,med,low,unacc,1623
550,high,2,4,small,med,unacc,550
928,vhigh,4,4,small,med,unacc,928
488,vhigh,4,2,small,high,unacc,488
1563,med,3,more,big,low,unacc,1563
1171,med,5more,4,small,med,acc,1171
146,high,3,4,small,high,unacc,146
1661,low,3,4,med,high,good,1661
402,low,4,more,big,low,unacc,402
954,vhigh,5more,4,small,low,unacc,954
1618,med,5more,more,big,med,good,1618
659,med,2,4,small,high,acc,659
1372,vhigh,4,more,med,med,acc,1372
463,vhigh,3,2,med,med,unacc,463
1349,vhigh,3,more,big,high,acc,1349
186,high,4,more,big,low,unacc,186
1147,med,4,4,med,med,acc,1147
1224,low,3,4,small,low,unacc,1224
608,high,4,4,med,high,acc,608
143,high,3,2,big,high,unacc,143
751,med,5more,more,med,med,acc,751
981,high,2,4,small,low,unacc,981
197,high,5more,2,big,high,unacc,197
883,vhigh,2,more,small,med,unacc,883
279,med,4,4,small,low,unacc,279
293,med,4,more,med,high,acc,293
1572,med,4,2,big,low,unacc,1572
400,low,4,more,med,med,acc,400
122,high,2,4,med,high,unacc,122
1207,low,2,more,small,med,unacc,1207
202,high,5more,4,med,med,unacc,202
1462,high,4,2,med,med,unacc,1462
835,low,4,more,big,med,acc,835
246,med,3,2,med,low,unacc,246
1439,high,3,2,big,high,unacc,1439
1637,low,2,4,big,high,vgood,1637
1621,low,2,2,small,med,unacc,1621
1153,med,4,more,small,med,acc,1153
1426,high,2,more,med,med,acc,1426
384,low,4,2,big,low,unacc,384
1518,med,2,2,big,low,unacc,1518
854,low,5more,4,big,high,acc,854
219,med,2,2,med,low,unacc,219
641,high,5more,more,small,high,acc,641
1,vhigh,2,2,small,med,unacc,1
112,high,2,2,med,med,unacc,112
698,med,3,more,med,high,acc,698
1648,low,3,2,small,med,unacc,1648
951,vhigh,5more,2,big,low,unacc,951
1511,high,5more,more,big,high,vgood,1511
1410,high,2,2,big,low,unacc,1410
1409,high,2,2,med,high,unacc,1409
1291,low,5more,more,med,med,good,1291
1560,med,3,more,med,low,unacc,1560
441,vhigh,2,4,small,low,unacc,441
1136,med,4,2,small,high,unacc,1136
1256,low,4,4,med,high,vgood,1256
1606,med,5more,4,med,med,good,1606
1397,vhigh,5more,more,small,high,acc,1397
663,med,2,4,big,low,unacc,663
1582,med,4,4,big,med,good,1582
1257,low,4,4,big,low,unacc,1257
1532,med,2,more,small,high,unacc,1532
317,med,5more,more,small,high,acc,317
648,med,2,2,small,low,unacc,648
1434,high,3,2,med,low,unacc,1434
1479,high,4,more,med,low,unacc,1479
709,med,4,2,big,med,unacc,709
1382,vhigh,5more,2,med,high,unacc,1382
1282,low,5more,4,med,med,good,1282
972,high,2,2,small,low,unacc,972
627,high,5more,2,big,low,unacc,627
632,high,5more,4,small,high,acc,632
1306,vhigh,2,4,small,med,unacc,1306
1400,vhigh,5more,more,med,high,acc,1400
1408,high,2,2,med,med,unacc,1408
1248,low,4,2,big,low,unacc,1248
1683,low,4,4,small,low,unacc,1683
1254,low,4,4,med,low,unacc,1254
1496,high,5more,4,small,high,acc,1496
1371,vhigh,4,more,med,low,unacc,1371
1529,med,2,4,big,high,vgood,1529
1354,vhigh,4,2,med,med,unacc,1354
1658,low,3,4,small,high,good,1658
1593,med,5more,2,small,low,unacc,1593
795,low,3,4,med,low,unacc,795
645,high,5more,more,big,low,unacc,645
1012,high,3,4,med,med,unacc,1012
556,high,2,4,big,med,acc,556
681,med,3,2,big,low,unacc,681
577,high,3,4,small,med,unacc,577
1109,med,3,2,small,high,unacc,1109
1266,low,4,more,big,low,unacc,1266
1183,med,5more,more,med,med,acc,1183
524,vhigh,5more,4,small,high,unacc,524
1059,high,5more,2,big,low,unacc,1059
540,high,2,2,small,low,unacc,540
1194,low,2,2,big,low,unacc,1194
748,med,5more,more,small,med,unacc,748
1596,med,5more,2,med,low,unacc,1596
1430,high,2,more,big,high,vgood,1430
484,vhigh,3,more,big,med,unacc,484
95,vhigh,5more,4,med,high,unacc,95
1020,high,3,more,med,low,unacc,1020
563,high,2,more,med,high,acc,563
1264,low,4,more,med,med,good,1264
742,med,5more,4,med,med,acc,742
863,low,5more,more,big,high,acc,863
1484,high,4,more,big,high,vgood,1484
891,vhigh,3,2,small,low,unacc,891
1038,high,4,4,med,low,unacc,1038
206,high,5more,4,big,high,unacc,206
392,low,4,4,med,high,acc,392
794,low,3,4,small,high,acc,794
870,vhigh,2,2,big,low,unacc,870
397,low,4,more,small,med,unacc,397
766,low,2,4,small,med,unacc,766
1586,med,4,more,small,high,good,1586
1241,low,3,more,big,high,vgood,1241
1028,high,4,2,small,high,unacc,1028
642,high,5more,more,med,low,unacc,642
1628,low,2,2,big,high,unacc,1628
612,high,4,more,small,low,unacc,612
960,vhigh,5more,4,big,low,unacc,960
1570,med,4,2,med,med,unacc,1570
725,med,4,more,med,high,acc,725
683,med,3,2,big,high,unacc,683
98,vhigh,5more,4,big,high,unacc,98
804,low,3,more,med,low,unacc,804
406,low,5more,2,small,med,unacc,406
502,vhigh,4,4,big,med,unacc,502
1071,high,5more,more,small,low,unacc,1071
1056,high,5more,2,med,low,unacc,1056
929,vhigh,4,4,small,high,acc,929
779,low,2,more,med,high,acc,779
200,high,5more,4,small,high,unacc,200
134,high,2,more,big,high,unacc,134
1051,high,4,more,big,med,acc,1051
40,vhigh,3,4,med,med,unacc,40
1017,high,3,more,small,low,unacc,1017
230,med,2,4,med,high,acc,230
1513,med,2,2,small,med,unacc,1513
378,low,4,2,small,low,unacc,378
288,med,4,more,small,low,unacc,288
418,low,5more,4,med,med,acc,418
391,low,4,4,med,med,acc,391
592,high,3,more,big,med,acc,592
1522,med,2,4,small,med,acc,1522
1162,med,5more,2,small,med,unacc,1162
1086,med,2,2,big,low,unacc,1086
1495,high,5more,4,small,med,acc,1495
647,high,5more,more,big,high,acc,647
1152,med,4,more,small,low,unacc,1152
1367,vhigh,4,4,big,high,acc,1367
520,vhigh,5more,2,big,med,unacc,520
64,vhigh,4,4,small,med,unacc,64
14,vhigh,2,4,med,high,unacc,14
1180,med,5more,more,small,med,acc,1180
1064,high,5more,4,small,high,acc,1064
492,vhigh,4,2,big,low,unacc,492
379,low,4,2,small,med,unacc,379
187,high,4,more,big,med,unacc,187
763,low,2,2,big,med,unacc,763
216,med,2,2,small,low,unacc,216
791,low,3,2,big,high,unacc,791
1076,high,5more,more,med,high,acc,1076
878,vhigh,2,4,med,high,acc,878
337,low,2,4,med,med,unacc,337
719,med,4,4,big,high,acc,719
295,med,4,more,big,med,acc,295
1016,high,3,4,big,high,acc,1016
1275,low,5more,2,big,low,unacc,1275
1485,high,5more,2,small,low,unacc,1485
455,vhigh,2,more,med,high,unacc,455
1724,low,5more,more,med,high,vgood,1724
815,low,4,2,med,high,unacc,815
269,med,3,more,big,high,acc,269
995,high,2,more,med,high,acc,995
201,high,5more,4,med,low,unacc,201
161,high,3,more,big,high,unacc,161
1579,med,4,4,med,med,good,1579
729,med,5more,2,small,low,unacc,729
401,low,4,more,med,high,acc,401
702,med,4,2,small,low,unacc,702
1500,high,5more,4,big,low,unacc,1500
1129,med,3,more,med,med,acc,1129
565,high,2,more,big,med,acc,565
1413,high,2,4,small,low,unacc,1413
1021,high,3,more,med,med,acc,1021
1025,high,3,more,big,high,acc,1025
1411,high,2,2,big,med,unacc,1411
1585,med,4,more,small,med,acc,1585
1104,med,2,more,big,low,unacc,1104
205,high,5more,4,big,med,unacc,205
34,vhigh,3,2,big,med,unacc,34
775,low,2,more,small,med,unacc,775
508,vhigh,4,more,med,med,unacc,508
1451,high,3,more,small,high,acc,1451
1478,high,4,more,small,high,acc,1478
1699,low,4,more,big,med,good,1699
1390,vhigh,5more,4,med,med,acc,1390
91,vhigh,5more,4,small,med,unacc,91
1363,vhigh,4,4,med,med,acc,1363
897,vhigh,3,2,big,low,unacc,897
564,high,2,more,big,low,unacc,564
1369,vhigh,4,more,small,med,unacc,1369
776,low,2,more,small,high,unacc,776
241,med,2,more,big,med,acc,241
13,vhigh,2,4,med,med,unacc,13
315,med,5more,more,small,low,unacc,315
600,high,4,2,big,low,unacc,600
387,low,4,4,small,low,unacc,387
1297,vhigh,2,2,small,med,unacc,1297
166,high,4,2,med,med,unacc,166
840,low,5more,2,med,low,unacc,840
20,vhigh,2,more,small,high,unacc,20
646,high,5more,more,big,med,acc,646
1508,high,5more,more,med,high,vgood,1508
1154,med,4,more,small,high,acc,1154
1528,med,2,4,big,med,good,1528
831,low,4,more,med,low,unacc,831
1267,low,4,more,big,med,good,1267
1590,med,4,more,big,low,unacc,1590
562,high,2,more,med,med,unacc,562
1682,low,4,2,big,high,unacc,1682
686,med,3,4,small,high,acc,686
957,vhigh,5more,4,med,low,unacc,957
189,high,5more,2,small,low,unacc,189
975,high,2,2,med,low,unacc,975
699,med,3,more,big,low,unacc,699
1499,high,5more,4,med,high,vgood,1499
510,vhigh,4,more,big,low,unacc,510
1082,med,2,2,small,high,unacc,1082
474,vhigh,3,4,big,low,unacc,474
1584,med,4,more,small,low,unacc,1584
856,low,5more,more,small,med,unacc,856
747,med,5more,more,small,low,unacc,747
252,med,3,4,small,low,unacc,252
21,vhigh,2,more,med,low,unacc,21
1337,vhigh,3,4,med,high,acc,1337
459,vhigh,3,2,small,low,unacc,459
1184,med,5more,more,med,high,vgood,1184
276,med,4,2,big,low,unacc,276
955,vhigh,5more,4,small,med,unacc,955
1215,low,3,2,small,low,unacc,1215
385,low,4,2,big,med,unacc,385
805,low,3,more,med,med,acc,805
1437,high,3,2,big,low,unacc,1437
1515,med,2,2,med,low,unacc,1515
343,low,2,more,small,med,unacc,343
769,low,2,4,med,med,unacc,769
1332,vhigh,3,4,small,low,unacc,1332
1685,low,4,4,small,high,good,1685
130,high,2,more,med,med,unacc,130
1687,low,4,4,med,med,good,1687
871,vhigh,2,2,big,med,unacc,871
1123,med,3,4,big,med,acc,1123
1396,vhigh,5more,more,small,med,unacc,1396
87,vhigh,5more,2,big,low,unacc,87
1482,high,4,more,big,low,unacc,1482
330,low,2,2,big,low,unacc,330
1238,low,3,more,med,high,vgood,1238
466,vhigh,3,2,big,med,unacc,466
121,high,2,4,med,med,unacc,121
1638,low,2,more,small,low,unacc,1638
1044,high,4,more,small,low,unacc,1044
1095,med,2,4,big,low,unacc,1095
1130,med,3,more,med,high,vgood,1130
1294,low,5more,more,big,med,good,1294
860,low,5more,more,med,high,acc,860
1459,high,4,2,small,med,unacc,1459
1126,med,3,more,small,med,acc,1126
