,buying,maint,doors,persons,lug_boot,safety,class
254,vhigh,med,3,4,small,high,acc
755,high,med,5more,more,big,high,acc
1526,low,med,2,4,med,high,good
1340,low,vhigh,3,4,big,high,acc
67,vhigh,vhigh,4,4,med,med,unacc
956,med,vhigh,5more,4,small,high,acc
1715,low,low,5more,4,med,high,vgood
1330,low,vhigh,3,2,big,med,unacc
1100,med,med,2,more,small,high,unacc
1493,low,high,5more,2,big,high,unacc
186,vhigh,high,4,more,big,low,unacc
1578,low,med,4,4,med,low,unacc
1333,low,vhigh,3,4,small,med,unacc
495,high,vhigh,4,4,small,low,unacc
6,vhigh,vhigh,2,2,big,low,unacc
1303,low,vhigh,2,2,big,med,unacc
543,high,high,2,2,med,low,unacc
1534,low,med,2,more,med,med,acc
135,vhigh,high,3,2,small,low,unacc
1708,low,low,5more,2,big,med,unacc
232,vhigh,med,2,4,big,med,acc
773,high,low,2,4,big,high,acc
757,high,low,2,2,small,med,unacc
1494,low,high,5more,4,small,low,unacc
499,high,vhigh,4,4,med,med,unacc
673,high,med,2,more,big,med,acc
302,vhigh,med,5more,2,med,high,unacc
365,vhigh,low,3,4,med,high,acc
278,vhigh,med,4,2,big,high,unacc
896,med,vhigh,3,2,med,high,unacc
1064,med,high,5more,4,small,high,acc
851,high,low,5more,4,med,high,acc
1550,low,med,3,4,small,high,good
360,vhigh,low,3,4,small,low,unacc
842,high,low,5more,2,med,high,unacc
1389,low,vhigh,5more,4,med,low,unacc
1665,low,low,3,more,small,low,unacc
1261,med,low,4,more,small,med,acc
1574,low,med,4,2,big,high,unacc
402,vhigh,low,4,more,big,low,unacc
263,vhigh,med,3,more,small,high,acc
559,high,high,2,more,small,med,unacc
839,high,low,5more,2,small,high,unacc
318,vhigh,med,5more,more,med,low,unacc
772,high,low,2,4,big,med,acc
173,vhigh,high,4,4,small,high,unacc
205,vhigh,high,5more,4,big,med,unacc
1554,low,med,3,4,big,low,unacc
909,med,vhigh,3,more,small,low,unacc
676,high,med,3,2,small,med,unacc
739,high,med,5more,4,small,med,unacc
762,high,low,2,2,big,low,unacc
124,vhigh,high,2,4,big,med,unacc
1104,med,med,2,more,big,low,unacc
792,high,low,3,4,small,low,unacc
13,vhigh,vhigh,2,4,med,med,unacc
405,vhigh,low,5more,2,small,low,unacc
1516,low,med,2,2,med,med,unacc
1059,med,high,5more,2,big,low,unacc
428,vhigh,low,5more,more,med,high,acc
1382,low,vhigh,5more,2,med,high,unacc
1085,med,med,2,2,med,high,unacc
1449,low,high,3,more,small,low,unacc
776,high,low,2,more,small,high,unacc
339,vhigh,low,2,4,big,low,unacc
1319,low,vhigh,2,more,med,high,acc
702,high,med,4,2,small,low,unacc
1235,med,low,3,more,small,high,good
734,high,med,5more,2,med,high,unacc
265,vhigh,med,3,more,med,med,acc
1679,low,low,4,2,med,high,unacc
211,vhigh,high,5more,more,med,med,unacc
1198,med,low,2,4,small,med,acc
966,med,vhigh,5more,more,med,low,unacc
865,med,vhigh,2,2,small,med,unacc
404,vhigh,low,4,more,big,high,acc
887,med,vhigh,2,more,med,high,acc
1041,med,high,4,4,big,low,unacc
910,med,vhigh,3,more,small,med,unacc
1155,med,med,4,more,med,low,unacc
538,high,vhigh,5more,more,big,med,unacc
568,high,high,3,2,small,med,unacc
669,high,med,2,more,med,low,unacc
1116,med,med,3,4,small,low,unacc
716,high,med,4,4,med,high,acc
1368,low,vhigh,4,more,small,low,unacc
775,high,low,2,more,small,med,unacc
780,high,low,2,more,big,low,unacc
477,high,vhigh,3,more,small,low,unacc
429,vhigh,low,5more,more,big,low,unacc
798,high,low,3,4,big,low,unacc
586,high,high,3,more,small,med,unacc
1347,low,vhigh,3,more,big,low,unacc
1331,low,vhigh,3,2,big,high,unacc
69,vhigh,vhigh,4,4,big,low,unacc
838,high,low,5more,2,small,med,unacc
220,vhigh,med,2,2,med,med,unacc
48,vhigh,vhigh,3,more,med,low,unacc
349,vhigh,low,2,more,big,med,acc
1028,med,high,4,2,small,high,unacc
561,high,high,2,more,med,low,unacc
485,high,vhigh,3,more,big,high,unacc
572,high,high,3,2,med,high,unacc
66,vhigh,vhigh,4,4,med,low,unacc
827,high,low,4,4,big,high,acc
15,vhigh,vhigh,2,4,big,low,unacc
1218,med,low,3,2,med,low,unacc
1569,low,med,4,2,med,low,unacc
1671,low,low,3,more,big,low,unacc
1058,med,high,5more,2,med,high,unacc
558,high,high,2,more,small,low,unacc
377,vhigh,low,3,more,big,high,acc
554,high,high,2,4,med,high,acc
1622,low,low,2,2,small,high,unacc
1567,low,med,4,2,small,med,unacc
1480,low,high,4,more,med,med,acc
1677,low,low,4,2,med,low,unacc
16,vhigh,vhigh,2,4,big,med,unacc
313,vhigh,med,5more,4,big,med,acc
1194,med,low,2,2,big,low,unacc
583,high,high,3,4,big,med,acc
648,high,med,2,2,small,low,unacc
1598,low,med,5more,2,med,high,unacc
52,vhigh,vhigh,3,more,big,med,unacc
1697,low,low,4,more,med,high,vgood
576,high,high,3,4,small,low,unacc
580,high,high,3,4,med,med,unacc
1652,low,low,3,2,med,high,unacc
567,high,high,3,2,small,low,unacc
297,vhigh,med,5more,2,small,low,unacc
233,vhigh,med,2,4,big,high,acc
324,vhigh,low,2,2,small,low,unacc
861,high,low,5more,more,big,low,unacc
643,high,high,5more,more,med,med,acc
626,high,high,5more,2,med,high,unacc
1461,low,high,4,2,med,low,unacc
441,high,vhigh,2,4,small,low,unacc
690,high,med,3,4,big,low,unacc
1664,low,low,3,4,big,high,vgood
1247,med,low,4,2,med,high,unacc
174,vhigh,high,4,4,med,low,unacc
600,high,high,4,2,big,low,unacc
1263,med,low,4,more,med,low,unacc
167,vhigh,high,4,2,med,high,unacc
686,high,med,3,4,small,high,acc
876,med,vhigh,2,4,med,low,unacc
1008,med,high,3,4,small,low,unacc
1280,med,low,5more,4,small,high,good
218,vhigh,med,2,2,small,high,unacc
371,vhigh,low,3,more,small,high,acc
1466,low,high,4,2,big,high,unacc
1125,med,med,3,more,small,low,unacc
709,high,med,4,2,big,med,unacc
1351,low,vhigh,4,2,small,med,unacc
1000,med,high,3,2,small,med,unacc
184,vhigh,high,4,more,med,med,unacc
1329,low,vhigh,3,2,big,low,unacc
267,vhigh,med,3,more,big,low,unacc
1306,low,vhigh,2,4,small,med,unacc
777,high,low,2,more,med,low,unacc
660,high,med,2,4,med,low,unacc
1253,med,low,4,4,small,high,good
196,vhigh,high,5more,2,big,med,unacc
1210,med,low,2,more,med,med,acc
793,high,low,3,4,small,med,unacc
1423,low,high,2,more,small,med,unacc
589,high,high,3,more,med,med,acc
1434,low,high,3,2,med,low,unacc
128,vhigh,high,2,more,small,high,unacc
1223,med,low,3,2,big,high,unacc
611,high,high,4,4,big,high,acc
138,vhigh,high,3,2,med,low,unacc
1243,med,low,4,2,small,med,unacc
1490,low,high,5more,2,med,high,unacc
1082,med,med,2,2,small,high,unacc
32,vhigh,vhigh,3,2,med,high,unacc
621,high,high,5more,2,small,low,unacc
963,med,vhigh,5more,more,small,low,unacc
1544,low,med,3,2,med,high,unacc
1700,low,low,4,more,big,high,vgood
1630,low,low,2,4,small,med,acc
272,vhigh,med,4,2,small,high,unacc
877,med,vhigh,2,4,med,med,unacc
1360,low,vhigh,4,4,small,med,unacc
1157,med,med,4,more,med,high,vgood
1338,low,vhigh,3,4,big,low,unacc
1272,med,low,5more,2,med,low,unacc
1476,low,high,4,more,small,low,unacc
597,high,high,4,2,med,low,unacc
260,vhigh,med,3,4,big,high,acc
18,vhigh,vhigh,2,more,small,low,unacc
1525,low,med,2,4,med,med,acc
1180,med,med,5more,more,small,med,acc
859,high,low,5more,more,med,med,acc
1600,low,med,5more,2,big,med,unacc
406,vhigh,low,5more,2,small,med,unacc
1045,med,high,4,more,small,med,unacc
398,vhigh,low,4,more,small,high,acc
1095,med,med,2,4,big,low,unacc
410,vhigh,low,5more,2,med,high,unacc
1572,low,med,4,2,big,low,unacc
1542,low,med,3,2,med,low,unacc
608,high,high,4,4,med,high,acc
1020,med,high,3,more,med,low,unacc
1035,med,high,4,4,small,low,unacc
1148,med,med,4,4,med,high,vgood
497,high,vhigh,4,4,small,high,unacc
1709,low,low,5more,2,big,high,unacc
1311,low,vhigh,2,4,big,low,unacc
1718,low,low,5more,4,big,high,vgood
1048,med,high,4,more,med,med,acc
984,med,high,2,4,med,low,unacc
1646,low,low,2,more,big,high,vgood
394,vhigh,low,4,4,big,med,acc
502,high,vhigh,4,4,big,med,unacc
1010,med,high,3,4,small,high,acc
1265,med,low,4,more,med,high,vgood
632,high,high,5more,4,small,high,acc
727,high,med,4,more,big,med,acc
1197,med,low,2,4,small,low,unacc
993,med,high,2,more,med,low,unacc
1458,low,high,4,2,small,low,unacc
41,vhigh,vhigh,3,4,med,high,unacc
569,high,high,3,2,small,high,unacc
231,vhigh,med,2,4,big,low,unacc
631,high,high,5more,4,small,med,unacc
334,vhigh,low,2,4,small,med,unacc
700,high,med,3,more,big,med,acc
396,vhigh,low,4,more,small,low,unacc
657,high,med,2,4,small,low,unacc
187,vhigh,high,4,more,big,med,unacc
994,med,high,2,more,med,med,unacc
1005,med,high,3,2,big,low,unacc
988,med,high,2,4,big,med,acc
1399,low,vhigh,5more,more,med,med,acc
1717,low,low,5more,4,big,med,good
1023,med,high,3,more,big,low,unacc
1678,low,low,4,2,med,med,unacc
421,vhigh,low,5more,4,big,med,acc
1273,med,low,5more,2,med,med,unacc
247,vhigh,med,3,2,med,med,unacc
1719,low,low,5more,more,small,low,unacc
537,high,vhigh,5more,more,big,low,unacc
1453,low,high,3,more,med,med,acc
343,vhigh,low,2,more,small,med,unacc
860,high,low,5more,more,med,high,acc
190,vhigh,high,5more,2,small,med,unacc
862,high,low,5more,more,big,med,acc
1387,low,vhigh,5more,4,small,med,unacc
609,high,high,4,4,big,low,unacc
901,med,vhigh,3,4,small,med,unacc
1007,med,high,3,2,big,high,unacc
788,high,low,3,2,med,high,unacc
629,high,high,5more,2,big,high,unacc
1099,med,med,2,more,small,med,unacc
766,high,low,2,4,small,med,unacc
383,vhigh,low,4,2,med,high,unacc
1443,low,high,3,4,med,low,unacc
769,high,low,2,4,med,med,unacc
653,high,med,2,2,med,high,unacc
1505,low,high,5more,more,small,high,acc
1141,med,med,4,2,big,med,unacc
222,vhigh,med,2,2,big,low,unacc
440,high,vhigh,2,2,big,high,unacc
305,vhigh,med,5more,2,big,high,unacc
539,high,vhigh,5more,more,big,high,unacc
359,vhigh,low,3,2,big,high,unacc
670,high,med,2,more,med,med,unacc
244,vhigh,med,3,2,small,med,unacc
251,vhigh,med,3,2,big,high,unacc
156,vhigh,high,3,more,med,low,unacc
546,high,high,2,2,big,low,unacc
663,high,med,2,4,big,low,unacc
969,med,vhigh,5more,more,big,low,unacc
1044,med,high,4,more,small,low,unacc
1692,low,low,4,more,small,low,unacc
665,high,med,2,4,big,high,acc
353,vhigh,low,3,2,small,high,unacc
1528,low,med,2,4,big,med,good
164,vhigh,high,4,2,small,high,unacc
314,vhigh,med,5more,4,big,high,acc
707,high,med,4,2,med,high,unacc
599,high,high,4,2,med,high,unacc
1560,low,med,3,more,med,low,unacc
504,high,vhigh,4,more,small,low,unacc
959,med,vhigh,5more,4,med,high,acc
1610,low,med,5more,4,big,high,vgood
973,med,high,2,2,small,med,unacc
1615,low,med,5more,more,med,med,good
795,high,low,3,4,med,low,unacc
446,high,vhigh,2,4,med,high,unacc
1309,low,vhigh,2,4,med,med,unacc
1296,low,vhigh,2,2,small,low,unacc
1512,low,med,2,2,small,low,unacc
1034,med,high,4,2,big,high,unacc
1017,med,high,3,more,small,low,unacc
463,high,vhigh,3,2,med,med,unacc
1667,low,low,3,more,small,high,good
203,vhigh,high,5more,4,med,high,unacc
370,vhigh,low,3,more,small,med,unacc
689,high,med,3,4,med,high,acc
150,vhigh,high,3,4,big,low,unacc
1640,low,low,2,more,small,high,unacc
1631,low,low,2,4,small,high,good
462,high,vhigh,3,2,med,low,unacc
434,high,vhigh,2,2,small,high,unacc
1714,low,low,5more,4,med,med,good
68,vhigh,vhigh,4,4,med,high,unacc
1551,low,med,3,4,med,low,unacc
692,high,med,3,4,big,high,acc
790,high,low,3,2,big,med,unacc
806,high,low,3,more,med,high,acc
308,vhigh,med,5more,4,small,high,acc
1358,low,vhigh,4,2,big,high,unacc
925,med,vhigh,4,2,big,med,unacc
1517,low,med,2,2,med,high,unacc
115,vhigh,high,2,2,big,med,unacc
1459,low,high,4,2,small,med,unacc
1282,med,low,5more,4,med,med,good
436,high,vhigh,2,2,med,med,unacc
1022,med,high,3,more,med,high,acc
1483,low,high,4,more,big,med,acc
35,vhigh,vhigh,3,2,big,high,unacc
763,high,low,2,2,big,med,unacc
918,med,vhigh,4,2,small,low,unacc
279,vhigh,med,4,4,small,low,unacc
178,vhigh,high,4,4,big,med,unacc
1503,low,high,5more,more,small,low,unacc
457,high,vhigh,2,more,big,med,unacc
1724,low,low,5more,more,med,high,vgood
1240,med,low,3,more,big,med,good
937,med,vhigh,4,more,small,med,unacc
1151,med,med,4,4,big,high,vgood
675,high,med,3,2,small,low,unacc
1027,med,high,4,2,small,med,unacc
1524,low,med,2,4,med,low,unacc
1676,low,low,4,2,small,high,unacc
1716,low,low,5more,4,big,low,unacc
999,med,high,3,2,small,low,unacc
1421,low,high,2,4,big,high,vgood
1077,med,high,5more,more,big,low,unacc
630,high,high,5more,4,small,low,unacc
450,high,vhigh,2,more,small,low,unacc
1639,low,low,2,more,small,med,unacc
1549,low,med,3,4,small,med,acc
602,high,high,4,2,big,high,unacc
1540,low,med,3,2,small,med,unacc
413,vhigh,low,5more,2,big,high,unacc
132,vhigh,high,2,more,big,low,unacc
747,high,med,5more,more,small,low,unacc
146,vhigh,high,3,4,small,high,unacc
352,vhigh,low,3,2,small,med,unacc
1386,low,vhigh,5more,4,small,low,unacc
26,vhigh,vhigh,2,more,big,high,unacc
331,vhigh,low,2,2,big,med,unacc
847,high,low,5more,4,small,med,unacc
363,vhigh,low,3,4,med,low,unacc
80,vhigh,vhigh,4,more,big,high,unacc
270,vhigh,med,4,2,small,low,unacc
1269,med,low,5more,2,small,low,unacc
1359,low,vhigh,4,4,small,low,unacc
1160,med,med,4,more,big,high,vgood
127,vhigh,high,2,more,small,med,unacc
1555,low,med,3,4,big,med,good
295,vhigh,med,4,more,big,med,acc
741,high,med,5more,4,med,low,unacc
1687,low,low,4,4,med,med,good
1498,low,high,5more,4,med,med,acc
185,vhigh,high,4,more,med,high,unacc
1308,low,vhigh,2,4,med,low,unacc
530,high,vhigh,5more,4,big,high,unacc
695,high,med,3,more,small,high,acc
12,vhigh,vhigh,2,4,med,low,unacc
955,med,vhigh,5more,4,small,med,unacc
1641,low,low,2,more,med,low,unacc
58,vhigh,vhigh,4,2,med,med,unacc
1535,low,med,2,more,med,high,good
337,vhigh,low,2,4,med,med,unacc
1150,med,med,4,4,big,med,acc
639,high,high,5more,more,small,low,unacc
1460,low,high,4,2,small,high,unacc
1433,low,high,3,2,small,high,unacc
512,high,vhigh,4,more,big,high,unacc
943,med,vhigh,4,more,big,med,acc
1429,low,high,2,more,big,med,acc
1619,low,med,5more,more,big,high,vgood
1592,low,med,4,more,big,high,vgood
850,high,low,5more,4,med,med,acc
801,high,low,3,more,small,low,unacc
1012,med,high,3,4,med,med,unacc
1239,med,low,3,more,big,low,unacc
886,med,vhigh,2,more,med,med,unacc
1543,low,med,3,2,med,med,unacc
1325,low,vhigh,3,2,small,high,unacc
601,high,high,4,2,big,med,unacc
889,med,vhigh,2,more,big,med,acc
1086,med,med,2,2,big,low,unacc
1091,med,med,2,4,small,high,acc
380,vhigh,low,4,2,small,high,unacc
119,vhigh,high,2,4,small,high,unacc
1129,med,med,3,more,med,med,acc
813,high,low,4,2,med,low,unacc
1398,low,vhigh,5more,more,med,low,unacc
987,med,high,2,4,big,low,unacc
2,vhigh,vhigh,2,2,small,high,unacc
55,vhigh,vhigh,4,2,small,med,unacc
1705,low,low,5more,2,med,med,unacc
607,high,high,4,4,med,med,acc
1712,low,low,5more,4,small,high,good
1252,med,low,4,4,small,med,acc
192,vhigh,high,5more,2,med,low,unacc
179,vhigh,high,4,4,big,high,unacc
515,high,vhigh,5more,2,small,high,unacc
1202,med,low,2,4,med,high,good
1722,low,low,5more,more,med,low,unacc
519,high,vhigh,5more,2,big,low,unacc
826,high,low,4,4,big,med,acc
213,vhigh,high,5more,more,big,low,unacc
816,high,low,4,2,big,low,unacc
1562,low,med,3,more,med,high,vgood
1096,med,med,2,4,big,med,acc
1465,low,high,4,2,big,med,unacc
807,high,low,3,more,big,low,unacc
1024,med,high,3,more,big,med,acc
449,high,vhigh,2,4,big,high,unacc
1204,med,low,2,4,big,med,good
786,high,low,3,2,med,low,unacc
1201,med,low,2,4,med,med,acc
1015,med,high,3,4,big,med,acc
1495,low,high,5more,4,small,med,acc
408,vhigh,low,5more,2,med,low,unacc
130,vhigh,high,2,more,med,med,unacc
880,med,vhigh,2,4,big,med,acc
612,high,high,4,more,small,low,unacc
587,high,high,3,more,small,high,acc
289,vhigh,med,4,more,small,med,unacc
60,vhigh,vhigh,4,2,big,low,unacc
1725,low,low,5more,more,big,low,unacc
1199,med,low,2,4,small,high,good
1409,low,high,2,2,med,high,unacc
291,vhigh,med,4,more,med,low,unacc
321,vhigh,med,5more,more,big,low,unacc
1643,low,low,2,more,med,high,good
329,vhigh,low,2,2,med,high,unacc
1499,low,high,5more,4,med,high,vgood
1553,low,med,3,4,med,high,good
708,high,med,4,2,big,low,unacc
327,vhigh,low,2,2,med,low,unacc
501,high,vhigh,4,4,big,low,unacc
435,high,vhigh,2,2,med,low,unacc
637,high,high,5more,4,big,med,acc
523,high,vhigh,5more,4,small,med,unacc
1575,low,med,4,4,small,low,unacc
720,high,med,4,more,small,low,unacc
350,vhigh,low,2,more,big,high,acc
356,vhigh,low,3,2,med,high,unacc
1656,low,low,3,4,small,low,unacc
989,med,high,2,4,big,high,acc
1054,med,high,5more,2,small,med,unacc
1285,med,low,5more,4,big,med,good
1573,low,med,4,2,big,med,unacc
1559,low,med,3,more,small,high,good
1271,med,low,5more,2,small,high,unacc
849,high,low,5more,4,med,low,unacc
299,vhigh,med,5more,2,small,high,unacc
486,high,vhigh,4,2,small,low,unacc
1224,med,low,3,4,small,low,unacc
874,med,vhigh,2,4,small,med,unacc
929,med,vhigh,4,4,small,high,acc
1589,low,med,4,more,med,high,vgood
706,high,med,4,2,med,med,unacc
200,vhigh,high,5more,4,small,high,unacc
390,vhigh,low,4,4,med,low,unacc
91,vhigh,vhigh,5more,4,small,med,unacc
29,vhigh,vhigh,3,2,small,high,unacc
614,high,high,4,more,small,high,acc
195,vhigh,high,5more,2,big,low,unacc
1171,med,med,5more,4,small,med,acc
500,high,vhigh,4,4,med,high,unacc
1298,low,vhigh,2,2,small,high,unacc
510,high,vhigh,4,more,big,low,unacc
422,vhigh,low,5more,4,big,high,acc
1323,low,vhigh,3,2,small,low,unacc
745,high,med,5more,4,big,med,acc
1190,med,low,2,2,small,high,unacc
420,vhigh,low,5more,4,big,low,unacc
950,med,vhigh,5more,2,med,high,unacc
1350,low,vhigh,4,2,small,low,unacc
1723,low,low,5more,more,med,med,good
487,high,vhigh,4,2,small,med,unacc
1299,low,vhigh,2,2,med,low,unacc
332,vhigh,low,2,2,big,high,unacc
1564,low,med,3,more,big,med,good
1117,med,med,3,4,small,med,acc
678,high,med,3,2,med,low,unacc
1699,low,low,4,more,big,med,good
180,vhigh,high,4,more,small,low,unacc
1212,med,low,2,more,big,low,unacc
25,vhigh,vhigh,2,more,big,med,unacc
595,high,high,4,2,small,med,unacc
181,vhigh,high,4,more,small,med,unacc
1451,low,high,3,more,small,high,acc
1405,low,high,2,2,small,med,unacc
1232,med,low,3,4,big,high,vgood
1682,low,low,4,2,big,high,unacc
1520,low,med,2,2,big,high,unacc
1118,med,med,3,4,small,high,acc
399,vhigh,low,4,more,med,low,unacc
1053,med,high,5more,2,small,low,unacc
1060,med,high,5more,2,big,med,unacc
255,vhigh,med,3,4,med,low,unacc
1055,med,high,5more,2,small,high,unacc
30,vhigh,vhigh,3,2,med,low,unacc
341,vhigh,low,2,4,big,high,acc
355,vhigh,low,3,2,med,med,unacc
1456,low,high,3,more,big,med,acc
1627,low,low,2,2,big,med,unacc
37,vhigh,vhigh,3,4,small,med,unacc
320,vhigh,med,5more,more,med,high,acc
23,vhigh,vhigh,2,more,med,high,unacc
848,high,low,5more,4,small,high,acc
662,high,med,2,4,med,high,acc
953,med,vhigh,5more,2,big,high,unacc
814,high,low,4,2,med,med,unacc
1531,low,med,2,more,small,med,unacc
1288,med,low,5more,more,small,med,acc
357,vhigh,low,3,2,big,low,unacc
81,vhigh,vhigh,5more,2,small,low,unacc
1642,low,low,2,more,med,med,acc
100,vhigh,vhigh,5more,more,small,med,unacc
1634,low,low,2,4,med,high,good
325,vhigh,low,2,2,small,med,unacc
1004,med,high,3,2,med,high,unacc
578,high,high,3,4,small,high,acc
88,vhigh,vhigh,5more,2,big,med,unacc
242,vhigh,med,2,more,big,high,acc
1075,med,high,5more,more,med,med,acc
1228,med,low,3,4,med,med,acc
1628,low,low,2,2,big,high,unacc
45,vhigh,vhigh,3,more,small,low,unacc
722,high,med,4,more,small,high,acc
1185,med,med,5more,more,big,low,unacc
1139,med,med,4,2,med,high,unacc
1426,low,high,2,more,med,med,acc
1167,med,med,5more,2,big,low,unacc
1184,med,med,5more,more,med,high,vgood
1334,low,vhigh,3,4,small,high,acc
1078,med,high,5more,more,big,med,acc
1186,med,med,5more,more,big,med,acc
761,high,low,2,2,med,high,unacc
1428,low,high,2,more,big,low,unacc
235,vhigh,med,2,more,small,med,unacc
281,vhigh,med,4,4,small,high,acc
1541,low,med,3,2,small,high,unacc
170,vhigh,high,4,2,big,high,unacc
1251,med,low,4,4,small,low,unacc
1601,low,med,5more,2,big,high,unacc
1581,low,med,4,4,big,low,unacc
596,high,high,4,2,small,high,unacc
541,high,high,2,2,small,med,unacc
931,med,vhigh,4,4,med,med,acc
452,high,vhigh,2,more,small,high,unacc
1127,med,med,3,more,small,high,acc
1614,low,med,5more,more,med,low,unacc
1545,low,med,3,2,big,low,unacc
1069,med,high,5more,4,big,med,acc
620,high,high,4,more,big,high,acc
1215,med,low,3,2,small,low,unacc
1211,med,low,2,more,med,high,good
1441,low,high,3,4,small,med,acc
752,high,med,5more,more,med,high,acc
667,high,med,2,more,small,med,unacc
585,high,high,3,more,small,low,unacc
1332,low,vhigh,3,4,small,low,unacc
1084,med,med,2,2,med,med,unacc
439,high,vhigh,2,2,big,med,unacc
751,high,med,5more,more,med,med,acc
1087,med,med,2,2,big,med,unacc
1683,low,low,4,4,small,low,unacc
696,high,med,3,more,med,low,unacc
731,high,med,5more,2,small,high,unacc
385,vhigh,low,4,2,big,med,unacc
123,vhigh,high,2,4,big,low,unacc
1475,low,high,4,4,big,high,vgood
891,med,vhigh,3,2,small,low,unacc
1558,low,med,3,more,small,med,acc
1158,med,med,4,more,big,low,unacc
411,vhigh,low,5more,2,big,low,unacc
210,vhigh,high,5more,more,med,low,unacc
533,high,vhigh,5more,more,small,high,unacc
116,vhigh,high,2,2,big,high,unacc
1536,low,med,2,more,big,low,unacc
1488,low,high,5more,2,med,low,unacc
482,high,vhigh,3,more,med,high,unacc
20,vhigh,vhigh,2,more,small,high,unacc
