,maint,doors,persons,lug_boot,safety,class
474,vhigh,3,4,big,low,unacc
342,low,2,more,small,low,unacc
720,med,4,more,small,low,unacc
1534,med,2,more,med,med,acc
1515,med,2,2,med,low,unacc
540,high,2,2,small,low,unacc
232,med,2,4,big,med,acc
773,low,2,4,big,high,acc
250,med,3,2,big,med,unacc
446,vhigh,2,4,med,high,unacc
1009,high,3,4,small,med,unacc
910,vhigh,3,more,small,med,unacc
673,med,2,more,big,med,acc
1134,med,4,2,small,low,unacc
365,low,3,4,med,high,acc
432,vhigh,2,2,small,low,unacc
1543,med,3,2,med,med,unacc
1064,high,5more,4,small,high,acc
851,low,5more,4,med,high,acc
1645,low,2,more,big,med,good
442,vhigh,2,4,small,med,unacc
621,high,5more,2,small,low,unacc
174,high,4,4,med,low,unacc
462,vhigh,3,2,med,low,unacc
1261,low,4,more,small,med,acc
1380,vhigh,5more,2,med,low,unacc
852,low,5more,4,big,low,unacc
263,med,3,more,small,high,acc
788,low,3,2,med,high,unacc
1652,low,3,2,med,high,unacc
285,med,4,4,big,low,unacc
772,low,2,4,big,med,acc
1038,high,4,4,med,low,unacc
867,vhigh,2,2,med,low,unacc
1460,high,4,2,small,high,unacc
1506,high,5more,more,med,low,unacc
507,vhigh,4,more,med,low,unacc
1294,low,5more,more,big,med,good
953,vhigh,5more,2,big,high,unacc
1109,med,3,2,small,high,unacc
1671,low,3,more,big,low,unacc
1611,med,5more,more,small,low,unacc
642,high,5more,more,med,low,unacc
37,vhigh,3,4,small,med,unacc
1326,vhigh,3,2,med,low,unacc
56,vhigh,4,2,small,high,unacc
178,high,4,4,big,med,unacc
814,low,4,2,med,med,unacc
501,vhigh,4,4,big,low,unacc
640,high,5more,more,small,med,unacc
1222,low,3,2,big,med,unacc
19,vhigh,2,more,small,med,unacc
428,low,5more,more,med,high,acc
1138,med,4,2,med,med,unacc
667,med,2,more,small,med,unacc
1514,med,2,2,small,high,unacc
337,low,2,4,med,med,unacc
988,high,2,4,big,med,acc
533,vhigh,5more,more,small,high,unacc
1319,vhigh,2,more,med,high,acc
1268,low,4,more,big,high,vgood
1280,low,5more,4,small,high,good
1554,med,3,4,big,low,unacc
265,med,3,more,med,med,acc
1344,vhigh,3,more,med,low,unacc
5,vhigh,2,2,med,high,unacc
55,vhigh,4,2,small,med,unacc
1198,low,2,4,small,med,acc
675,med,3,2,small,low,unacc
1618,med,5more,more,big,med,good
404,low,4,more,big,high,acc
887,vhigh,2,more,med,high,acc
628,high,5more,2,big,med,unacc
43,vhigh,3,4,big,med,unacc
506,vhigh,4,more,small,high,unacc
704,med,4,2,small,high,unacc
1536,med,2,more,big,low,unacc
100,vhigh,5more,more,small,med,unacc
586,high,3,more,small,med,unacc
716,med,4,4,med,high,acc
1416,high,2,4,med,low,unacc
12,vhigh,2,4,med,low,unacc
162,high,4,2,small,low,unacc
44,vhigh,3,4,big,high,unacc
229,med,2,4,med,med,unacc
703,med,4,2,small,med,unacc
1551,med,3,4,med,low,unacc
213,high,5more,more,big,low,unacc
891,vhigh,3,2,small,low,unacc
1146,med,4,4,med,low,unacc
1131,med,3,more,big,low,unacc
708,med,4,2,big,low,unacc
486,vhigh,4,2,small,low,unacc
1387,vhigh,5more,4,small,med,unacc
324,low,2,2,small,low,unacc
349,low,2,more,big,med,acc
1166,med,5more,2,med,high,unacc
1194,low,2,2,big,low,unacc
173,high,4,4,small,high,unacc
1559,med,3,more,small,high,good
482,vhigh,3,more,med,high,unacc
827,low,4,4,big,high,acc
170,high,4,2,big,high,unacc
1116,med,3,4,small,low,unacc
700,med,3,more,big,med,acc
652,med,2,2,med,med,unacc
407,low,5more,2,small,high,unacc
45,vhigh,3,more,small,low,unacc
1579,med,4,4,med,med,good
377,low,3,more,big,high,acc
554,high,2,4,med,high,acc
1089,med,2,4,small,low,unacc
1276,low,5more,2,big,med,unacc
1480,high,4,more,med,med,acc
141,high,3,2,big,low,unacc
63,vhigh,4,4,small,low,unacc
313,med,5more,4,big,med,acc
417,low,5more,4,med,low,unacc
583,high,3,4,big,med,acc
258,med,3,4,big,low,unacc
185,high,4,more,med,high,unacc
117,high,2,4,small,low,unacc
769,low,2,4,med,med,unacc
1705,low,5more,2,med,med,unacc
1314,vhigh,2,more,small,low,unacc
766,low,2,4,small,med,unacc
1274,low,5more,2,med,high,unacc
346,low,2,more,med,med,unacc
1651,low,3,2,med,med,unacc
233,med,2,4,big,high,acc
385,low,4,2,big,med,unacc
42,vhigh,3,4,big,low,unacc
818,low,4,2,big,high,unacc
643,high,5more,more,med,med,acc
1670,low,3,more,med,high,vgood
88,vhigh,5more,2,big,med,unacc
1007,high,3,2,big,high,unacc
1649,low,3,2,small,high,unacc
1557,med,3,more,small,low,unacc
360,low,3,4,small,low,unacc
627,high,5more,2,big,low,unacc
1263,low,4,more,med,low,unacc
553,high,2,4,med,med,unacc
873,vhigh,2,4,small,low,unacc
249,med,3,2,big,low,unacc
686,med,3,4,small,high,acc
412,low,5more,2,big,med,unacc
1342,vhigh,3,more,small,med,unacc
1349,vhigh,3,more,big,high,acc
499,vhigh,4,4,med,med,unacc
371,low,3,more,small,high,acc
1230,low,3,4,big,low,unacc
252,med,3,4,small,low,unacc
811,low,4,2,small,med,unacc
899,vhigh,3,2,big,high,unacc
306,med,5more,4,small,low,unacc
1179,med,5more,more,small,low,unacc
706,med,4,2,med,med,unacc
379,low,4,2,small,med,unacc
300,med,5more,2,med,low,unacc
1386,vhigh,5more,4,small,low,unacc
862,low,5more,more,big,med,acc
146,high,3,4,small,high,unacc
1204,low,2,4,big,med,good
157,high,3,more,med,med,unacc
116,high,2,2,big,high,unacc
1210,low,2,more,med,med,acc
1243,low,4,2,small,med,unacc
219,med,2,2,med,low,unacc
589,high,3,more,med,med,acc
498,vhigh,4,4,med,low,unacc
1709,low,5more,2,big,high,unacc
535,vhigh,5more,more,med,med,unacc
1087,med,2,2,big,med,unacc
611,high,4,4,big,high,acc
756,low,2,2,small,low,unacc
1014,high,3,4,big,low,unacc
1639,low,2,more,small,med,unacc
1311,vhigh,2,4,big,low,unacc
1406,high,2,2,small,high,unacc
30,vhigh,3,2,med,low,unacc
974,high,2,2,small,high,unacc
1703,low,5more,2,small,high,unacc
872,vhigh,2,2,big,high,unacc
438,vhigh,2,2,big,low,unacc
1673,low,3,more,big,high,vgood
1612,med,5more,more,small,med,acc
860,low,5more,more,med,high,acc
1463,high,4,2,med,high,unacc
359,low,3,2,big,high,unacc
72,vhigh,4,more,small,low,unacc
569,high,3,2,small,high,unacc
591,high,3,more,big,low,unacc
483,vhigh,3,more,big,low,unacc
1520,med,2,2,big,high,unacc
1182,med,5more,more,med,low,unacc
1104,med,2,more,big,low,unacc
546,high,2,2,big,low,unacc
260,med,3,4,big,high,acc
1329,vhigh,3,2,big,low,unacc
1525,med,2,4,med,med,acc
1180,med,5more,more,small,med,acc
859,low,5more,more,med,med,acc
1434,high,3,2,med,low,unacc
1423,high,2,more,small,med,unacc
576,high,3,4,small,low,unacc
398,low,4,more,small,high,acc
321,med,5more,more,big,low,unacc
455,vhigh,2,more,med,high,unacc
1413,high,2,4,small,low,unacc
1610,med,5more,4,big,high,vgood
1446,high,3,4,big,low,unacc
1214,low,2,more,big,high,vgood
918,vhigh,4,2,small,low,unacc
1048,high,4,more,med,med,acc
1421,high,2,4,big,high,vgood
1430,high,2,more,big,high,vgood
509,vhigh,4,more,med,high,unacc
657,med,2,4,small,low,unacc
336,low,2,4,med,low,unacc
67,vhigh,4,4,med,med,unacc
1399,vhigh,5more,more,med,med,acc
1081,med,2,2,small,med,unacc
268,med,3,more,big,med,acc
183,high,4,more,med,low,unacc
677,med,3,2,small,high,unacc
10,vhigh,2,4,small,med,unacc
68,vhigh,4,4,med,high,unacc
1401,vhigh,5more,more,big,low,unacc
1264,low,4,more,med,med,good
71,vhigh,4,4,big,high,unacc
618,high,4,more,big,low,unacc
363,low,3,4,med,low,unacc
1392,vhigh,5more,4,big,low,unacc
1141,med,4,2,big,med,unacc
843,low,5more,2,big,low,unacc
136,high,3,2,small,med,unacc
1545,med,3,2,big,low,unacc
357,low,3,2,big,low,unacc
190,high,5more,2,small,med,unacc
1333,vhigh,3,4,small,med,unacc
763,low,2,2,big,med,unacc
1149,med,4,4,big,low,unacc
1101,med,2,more,med,low,unacc
665,med,2,4,big,high,acc
237,med,2,more,med,low,unacc
1712,low,5more,4,small,high,good
314,med,5more,4,big,high,acc
1488,high,5more,2,med,low,unacc
1352,vhigh,4,2,small,high,unacc
571,high,3,2,med,med,unacc
1634,low,2,4,med,high,good
1347,vhigh,3,more,big,low,unacc
1306,vhigh,2,4,small,med,unacc
396,low,4,more,small,low,unacc
1137,med,4,2,med,low,unacc
1493,high,5more,2,big,high,unacc
465,vhigh,3,2,big,low,unacc
1325,vhigh,3,2,small,high,unacc
558,high,2,more,small,low,unacc
1011,high,3,4,med,low,unacc
1528,med,2,4,big,med,good
1209,low,2,more,med,low,unacc
689,med,3,4,med,high,acc
947,vhigh,5more,2,small,high,unacc
898,vhigh,3,2,big,med,unacc
1174,med,5more,4,med,med,acc
692,med,3,4,big,high,acc
694,med,3,more,small,med,unacc
1215,low,3,2,small,low,unacc
32,vhigh,3,2,med,high,unacc
523,vhigh,5more,4,small,med,unacc
1699,low,4,more,big,med,good
1022,high,3,more,med,high,acc
291,med,4,more,med,low,unacc
1437,high,3,2,big,low,unacc
327,low,2,2,med,low,unacc
672,med,2,more,big,low,unacc
158,high,3,more,med,high,unacc
744,med,5more,4,big,low,unacc
834,low,4,more,big,low,unacc
1724,low,5more,more,med,high,vgood
1397,vhigh,5more,more,small,high,acc
1428,high,2,more,big,low,unacc
1270,low,5more,2,small,med,unacc
247,med,3,2,med,med,unacc
764,low,2,2,big,high,unacc
1055,high,5more,2,small,high,unacc
153,high,3,more,small,low,unacc
736,med,5more,2,big,med,unacc
650,med,2,2,small,high,unacc
1296,vhigh,2,2,small,low,unacc
552,high,2,4,med,low,unacc
1259,low,4,4,big,high,vgood
87,vhigh,5more,2,big,low,unacc
86,vhigh,5more,2,med,high,unacc
103,vhigh,5more,more,med,med,unacc
329,low,2,2,med,high,unacc
1549,med,3,4,small,med,acc
765,low,2,4,small,low,unacc
978,high,2,2,big,low,unacc
494,vhigh,4,2,big,high,unacc
520,vhigh,5more,2,big,med,unacc
951,vhigh,5more,2,big,low,unacc
1408,high,2,2,med,med,unacc
559,high,2,more,small,med,unacc
302,med,5more,2,med,high,unacc
1531,med,2,more,small,med,unacc
497,vhigh,4,4,small,high,unacc
787,low,3,2,med,med,unacc
1613,med,5more,more,small,high,good
539,vhigh,5more,more,big,high,unacc
1369,vhigh,4,more,small,med,unacc
436,vhigh,2,2,med,med,unacc
517,vhigh,5more,2,med,med,unacc
1574,med,4,2,big,high,unacc
1667,low,3,more,small,high,good
491,vhigh,4,2,med,high,unacc
1160,med,4,more,big,high,vgood
684,med,3,4,small,low,unacc
983,high,2,4,small,high,acc
295,med,4,more,big,med,acc
560,high,2,more,small,high,unacc
1258,low,4,4,big,med,good
1498,high,5more,4,med,med,acc
1433,high,3,2,small,high,unacc
1063,high,5more,4,small,med,unacc
473,vhigh,3,4,med,high,unacc
695,med,3,more,small,high,acc
331,low,2,2,big,med,unacc
537,vhigh,5more,more,big,low,unacc
378,low,4,2,small,low,unacc
1242,low,4,2,small,low,unacc
1526,med,2,4,med,high,good
231,med,2,4,big,low,unacc
1150,med,4,4,big,med,acc
120,high,2,4,med,low,unacc
1578,med,4,4,med,low,unacc
926,vhigh,4,2,big,high,unacc
138,high,3,2,med,low,unacc
943,vhigh,4,more,big,med,acc
1429,high,2,more,big,med,acc
1499,high,5more,4,med,high,vgood
1511,high,5more,more,big,high,vgood
850,low,5more,4,med,med,acc
78,vhigh,4,more,big,low,unacc
97,vhigh,5more,4,big,med,unacc
1308,vhigh,2,4,med,low,unacc
1359,vhigh,4,4,small,low,unacc
856,low,5more,more,small,med,unacc
132,high,2,more,big,low,unacc
750,med,5more,more,med,low,unacc
889,vhigh,2,more,big,med,acc
1675,low,4,2,small,med,unacc
1091,med,2,4,small,high,acc
164,high,4,2,small,high,unacc
187,high,4,more,big,med,unacc
1129,med,3,more,med,med,acc
1061,high,5more,2,big,high,unacc
413,low,5more,2,big,high,unacc
874,vhigh,2,4,small,med,unacc
1012,high,3,4,med,med,unacc
653,med,2,2,med,high,unacc
903,vhigh,3,4,med,low,unacc
607,high,4,4,med,med,acc
1414,high,2,4,small,med,acc
1252,low,4,4,small,med,acc
790,low,3,2,big,med,unacc
440,vhigh,2,2,big,high,unacc
211,high,5more,more,med,med,unacc
1218,low,3,2,med,low,unacc
184,high,4,more,med,med,unacc
1672,low,3,more,big,med,good
1356,vhigh,4,2,big,low,unacc
1466,high,4,2,big,high,unacc
826,low,4,4,big,med,acc
1676,low,4,2,small,high,unacc
1077,high,5more,more,big,low,unacc
1562,med,3,more,med,high,vgood
1096,med,2,4,big,med,acc
1224,low,3,4,small,low,unacc
654,med,2,2,big,low,unacc
1024,high,3,more,big,med,acc
1008,high,3,4,small,low,unacc
1474,high,4,4,big,med,acc
1290,low,5more,more,med,low,unacc
1201,low,2,4,med,med,acc
871,vhigh,2,2,big,med,unacc
1015,high,3,4,big,med,acc
1495,high,5more,4,small,med,acc
710,med,4,2,big,high,unacc
2,vhigh,2,2,small,high,unacc
1459,high,4,2,small,med,unacc
880,vhigh,2,4,big,med,acc
206,high,5more,4,big,high,unacc
587,high,3,more,small,high,acc
312,med,5more,4,big,low,unacc
1462,high,4,2,med,med,unacc
682,med,3,2,big,med,unacc
1237,low,3,more,med,med,good
460,vhigh,3,2,small,med,unacc
1196,low,2,2,big,high,unacc
973,high,2,2,small,med,unacc
416,low,5more,4,small,high,acc
510,vhigh,4,more,big,low,unacc
1175,med,5more,4,med,high,vgood
1604,med,5more,4,small,high,good
289,med,4,more,small,med,unacc
1139,med,4,2,med,high,unacc
1085,med,2,2,med,high,unacc
303,med,5more,2,big,low,unacc
637,high,5more,4,big,med,acc
791,low,3,2,big,high,unacc
866,vhigh,2,2,small,high,unacc
1601,med,5more,2,big,high,unacc
350,low,2,more,big,high,acc
1487,high,5more,2,small,high,unacc
574,high,3,2,big,med,unacc
989,high,2,4,big,high,acc
1197,low,2,4,small,low,unacc
719,med,4,4,big,high,acc
1368,vhigh,4,more,small,low,unacc
1550,med,3,4,small,high,good
414,low,5more,4,small,low,unacc
816,low,4,2,big,low,unacc
66,vhigh,4,4,med,low,unacc
492,vhigh,4,2,big,low,unacc
343,low,2,more,small,med,unacc
531,vhigh,5more,more,small,low,unacc
929,vhigh,4,4,small,high,acc
1646,low,2,more,big,high,vgood
1410,high,2,2,big,low,unacc
152,high,3,4,big,high,unacc
602,high,4,2,big,high,unacc
150,high,3,4,big,low,unacc
1653,low,3,2,big,low,unacc
614,high,4,more,small,high,acc
776,low,2,more,small,high,unacc
1171,med,5more,4,small,med,acc
54,vhigh,4,2,small,low,unacc
1374,vhigh,4,more,big,low,unacc
1553,med,3,4,med,high,good
1665,low,3,more,small,low,unacc
422,low,5more,4,big,high,acc
1164,med,5more,2,med,low,unacc
745,med,5more,4,big,med,acc
1655,low,3,2,big,high,unacc
201,high,5more,4,med,low,unacc
901,vhigh,3,4,small,med,unacc
630,high,5more,4,small,low,unacc
1643,low,2,more,med,high,good
210,high,5more,more,med,low,unacc
107,vhigh,5more,more,big,high,unacc
1641,low,2,more,med,low,unacc
958,vhigh,5more,4,med,med,acc
1117,med,3,4,small,med,acc
235,med,2,more,small,med,unacc
1523,med,2,4,small,high,good
762,low,2,2,big,low,unacc
1597,med,5more,2,med,med,unacc
354,low,3,2,med,low,unacc
1706,low,5more,2,med,high,unacc
1028,high,4,2,small,high,unacc
1004,high,3,2,med,high,unacc
1451,high,3,more,small,high,acc
1683,low,4,4,small,low,unacc
1589,med,4,more,med,high,vgood
731,med,5more,2,small,high,unacc
777,low,2,more,med,low,unacc
1118,med,3,4,small,high,acc
1424,high,2,more,small,high,unacc
1044,high,4,more,small,low,unacc
85,vhigh,5more,2,med,med,unacc
301,med,5more,2,med,med,unacc
1350,vhigh,4,2,small,low,unacc
1620,low,2,2,small,low,unacc
341,low,2,4,big,high,acc
48,vhigh,3,more,med,low,unacc
1456,high,3,more,big,med,acc
1071,high,5more,more,small,low,unacc
1062,high,5more,4,small,low,unacc
320,med,5more,more,med,high,acc
847,low,5more,4,small,med,unacc
848,low,5more,4,small,high,acc
662,med,2,4,med,high,acc
1686,low,4,4,med,low,unacc
939,vhigh,4,more,med,low,unacc
1316,vhigh,2,more,small,high,unacc
406,low,5more,2,small,med,unacc
1288,low,5more,more,small,med,acc
655,med,2,2,big,med,unacc
435,vhigh,2,2,med,low,unacc
1633,low,2,4,med,med,acc
198,high,5more,4,small,low,unacc
1717,low,5more,4,big,med,good
1449,high,3,more,small,low,unacc
31,vhigh,3,2,med,med,unacc
578,high,3,4,small,high,acc
519,vhigh,5more,2,big,low,unacc
242,med,2,more,big,high,acc
1075,high,5more,more,med,med,acc
1228,low,3,4,med,med,acc
113,high,2,2,med,high,unacc
7,vhigh,2,2,big,med,unacc
722,med,4,more,small,high,acc
496,vhigh,4,4,small,med,unacc
1108,med,3,2,small,med,unacc
1426,high,2,more,med,med,acc
1568,med,4,2,small,high,unacc
1184,med,5more,more,med,high,vgood
1334,vhigh,3,4,small,high,acc
1078,high,5more,more,big,med,acc
1186,med,5more,more,big,med,acc
332,low,2,2,big,high,unacc
121,high,2,4,med,med,unacc
443,vhigh,2,4,small,high,unacc
281,med,4,4,small,high,acc
585,high,3,more,small,low,unacc
1664,low,3,4,big,high,vgood
1647,low,3,2,small,low,unacc
139,high,3,2,med,med,unacc
1575,med,4,4,small,low,unacc
479,vhigh,3,more,small,high,unacc
948,vhigh,5more,2,med,low,unacc
896,vhigh,3,2,med,high,unacc
931,vhigh,4,4,med,med,acc
464,vhigh,3,2,med,high,unacc
1127,med,3,more,small,high,acc
452,vhigh,2,more,small,high,unacc
893,vhigh,3,2,small,high,unacc
1031,high,4,2,med,high,unacc
1069,high,5more,4,big,med,acc
620,high,4,more,big,high,acc
747,med,5more,more,small,low,unacc
1289,low,5more,more,small,high,good
1157,med,4,more,med,high,vgood
1441,high,3,4,small,med,acc
752,med,5more,more,med,high,acc
1668,low,3,more,med,low,unacc
739,med,5more,4,small,med,unacc
251,med,3,2,big,high,unacc
1677,low,4,2,med,low,unacc
1034,high,4,2,big,high,unacc
751,med,5more,more,med,med,acc
980,high,2,2,big,high,unacc
839,low,5more,2,small,high,unacc
26,vhigh,2,more,big,high,unacc
1479,high,4,more,med,low,unacc
41,vhigh,3,4,med,high,unacc
480,vhigh,3,more,med,low,unacc
595,high,4,2,small,med,unacc
1617,med,5more,more,big,low,unacc
1003,high,3,2,med,med,unacc
1558,med,3,more,small,med,acc
16,vhigh,2,4,big,med,unacc
215,high,5more,more,big,high,unacc
613,high,4,more,small,med,unacc
709,med,4,2,big,med,unacc
83,vhigh,5more,2,small,high,unacc
212,high,5more,more,med,high,unacc
1304,vhigh,2,2,big,high,unacc
1678,low,4,2,med,med,unacc
1255,low,4,4,med,med,good
